"original_path","target_path","bucket","classification","git_state","extension","size_bytes","width","height","sha256","reference_locations","category","atlas_group","action","reason"
"assets/fx/爆炸影响_参考还原_v1/frames_rgba/frame_18.png","art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_18.png","art_source","protected_source","tracked_or_staged",".png","15448","1226","1756","0effde0fdaf995b7c4da77e639f5d6ba936897f0fa0df01fd7007e58627937e4","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/frames_rgba/frame_19.png","art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_19.png","art_source","protected_source","tracked_or_staged",".png","13694","1226","1756","bcaf07832bbb51e157518c57970fb1b26a4264e323a9dffd04bc5323fdac5fc3","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/frames_rgba/frame_20.png","art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_20.png","art_source","protected_source","tracked_or_staged",".png","13306","1226","1756","91d8ee88cc3b343ae7dbbb43b05d42bca3abe3231f1e19b1382507ec64dc7561","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/frames_rgba/frame_21.png","art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_21.png","art_source","protected_source","tracked_or_staged",".png","13133","1226","1756","cfd37b85905ae71efc45cb32fe21682599d644da9bc4ffd23b33dd3a6e0f672d","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/frames_rgba/frame_22.png","art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_22.png","art_source","protected_source","tracked_or_staged",".png","13133","1226","1756","cfd37b85905ae71efc45cb32fe21682599d644da9bc4ffd23b33dd3a6e0f672d","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/frames_rgba/frame_23.png","art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_23.png","art_source","protected_source","tracked_or_staged",".png","13008","1226","1756","a95a3655fc7453fa5c380d2001fc65ebd4bfc995769e5777f83f74032dd7fc0b","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/frames_rgba/frame_24.png","art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/frame_24.png","art_source","protected_source","tracked_or_staged",".png","13008","1226","1756","a95a3655fc7453fa5c380d2001fc65ebd4bfc995769e5777f83f74032dd7fc0b","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/爆炸影响特效合集_参考还原_3秒循环.mp4","art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_参考还原_3秒循环.mp4","art_source","protected_source","tracked_or_staged",".mp4","1907186","","","49e5a4aaad5c8d5a409b8f480577246fb02b456b9f3350223cd66a1e29fe171e","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/爆炸影响特效合集_关键帧检查.jpg","art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_关键帧检查.jpg","art_source","protected_source","tracked_or_staged",".jpg","346535","2452","1756","d4da8c25b0a9387bd98137a455c428b3d8a0cd00f35466bff7ce58b12152b987","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/爆炸影响特效合集_透明循环.webp","art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_透明循环.webp","art_source","protected_source","tracked_or_staged",".webp","283778","","","c694e81cdb18edfca2210ec826c10ba5212c28a3662f1f0d7e48b7cda36e58a5","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v1/爆炸影响特效合集_预览.gif","art_source/fx_references/爆炸影响_参考还原_v01/爆炸影响特效合集_预览.gif","art_source","protected_source","tracked_or_staged",".gif","367477","613","878","281471a0d8f6c50da52feee500ef66c8dd3c28a5fc96f0cb9bf5c675b77e782d","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_00.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_00.png","art_source","protected_source","tracked_or_staged",".png","4978","613","878","4193ca8c265c8f368e36ee7081f776150f3b4361d9553b34178123a9ed12ad7c","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_01.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_01.png","art_source","protected_source","tracked_or_staged",".png","43471","613","878","52c154ad4ca2e3d66674547480fb8b760e3aefe484ed6d3d8983578d6250ee26","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_02.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_02.png","art_source","protected_source","tracked_or_staged",".png","68015","613","878","f95461c3ed2fc5a549214f4677998d06145659e5fd0b9f4bb8383a55caf82434","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_03.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_03.png","art_source","protected_source","tracked_or_staged",".png","87318","613","878","42b0446943e29cc8903db76d9fdaaac5295e62237a01af26b32aa646a3115954","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_04.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_04.png","art_source","protected_source","tracked_or_staged",".png","91086","613","878","f030458cb047f9c149db0478ebcc09a17912a8b14cba960b9127024f58ec13b5","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_05.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_05.png","art_source","protected_source","tracked_or_staged",".png","89696","613","878","e04a03e167984a3b8fe30768668731c4a810bf3b501bbbd2d598b996e09edaf1","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_06.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_06.png","art_source","protected_source","tracked_or_staged",".png","83273","613","878","581a476762bc662ca8f2172930e4006474df363a6781ed2e6ca0b3c077d7a5ef","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_07.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_07.png","art_source","protected_source","tracked_or_staged",".png","77153","613","878","b24409e30de46982a6f7a490403d47a650e15fbaeae7eea8135630358a06412a","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_08.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_08.png","art_source","protected_source","tracked_or_staged",".png","65490","613","878","46d15e60d7c0da9e6c1e4dabb2d89edc69ce2d866f198083cf4256d82030110a","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_09.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_09.png","art_source","protected_source","tracked_or_staged",".png","54528","613","878","058b671e38ec706ad793fe59bc742a30754ebcac28fe35cd68e153de2bbc080d","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_10.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_10.png","art_source","protected_source","tracked_or_staged",".png","42827","613","878","1572f2cef124eea63c2dd1d9b2468d63a3f1d0479d12c4a53552d0c3abe1be13","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_11.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_11.png","art_source","protected_source","tracked_or_staged",".png","33095","613","878","2fb979c451171503bb15ffea86c57663f4bb44df802ff01beb2557c9ac6c6623","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_12.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_12.png","art_source","protected_source","tracked_or_staged",".png","29977","613","878","41afad24d490502c1be898f2f644b6413daf71cdec07230b413b5f9ef5a716f9","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_13.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_13.png","art_source","protected_source","tracked_or_staged",".png","23594","613","878","f34905786c42f7603e12616dccbf6dbb3715ae8551c53384244272a8c3992407","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_14.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_14.png","art_source","protected_source","tracked_or_staged",".png","14152","613","878","c726066ab628ef475de45ee13f36ce8fc097563abc45d44933eeeceb441801c8","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_15.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_15.png","art_source","protected_source","tracked_or_staged",".png","10552","613","878","30b79984cd1ea2689eec8f511f189cde5a5f0bff20cd5289e213bee0d3f30ada","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_16.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_16.png","art_source","protected_source","tracked_or_staged",".png","12149","613","878","85ebe531bd7cdaac883464d940c78273b3cce222462919a01796d2f379797d3c","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_17.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_17.png","art_source","protected_source","tracked_or_staged",".png","7360","613","878","846a6506af87f058d30d927d5dc1f8edeec9263b149453c8f2c2caaa4b3ffe41","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_18.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_18.png","art_source","protected_source","tracked_or_staged",".png","6786","613","878","2ff4a02a08b1214516fc624185a27b3526864f427ff3634d34b22ae7f4557f7d","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_19.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_19.png","art_source","protected_source","tracked_or_staged",".png","5449","613","878","b263d9dca0d81459a6450062cb7cf9296fc579a1314104cab3e1c5c0566d9d4f","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_20.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_20.png","art_source","protected_source","tracked_or_staged",".png","5191","613","878","04cdb9efac38974616c58315b0aec54f7bf2e161007e4d30b0e8d4dee862db2b","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_21.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_21.png","art_source","protected_source","tracked_or_staged",".png","5076","613","878","af61000eac9719386cae19e186ea8b20def8d30dbc096102a9406702e3cd304a","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_22.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_22.png","art_source","protected_source","tracked_or_staged",".png","5076","613","878","af61000eac9719386cae19e186ea8b20def8d30dbc096102a9406702e3cd304a","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_23.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_23.png","art_source","protected_source","tracked_or_staged",".png","4978","613","878","4193ca8c265c8f368e36ee7081f776150f3b4361d9553b34178123a9ed12ad7c","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/frames_rgba/frame_24.png","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/frame_24.png","art_source","protected_source","tracked_or_staged",".png","4978","613","878","4193ca8c265c8f368e36ee7081f776150f3b4361d9553b34178123a9ed12ad7c","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/爆炸影响特效合集_严格保真_3秒循环.mp4","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_3秒循环.mp4","art_source","protected_source","tracked_or_staged",".mp4","1075981","","","ca85f0bc94a0435e1b8cbdb21314a5b8e7a95eaa8062625b6f16cfdaf3553028","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/爆炸影响特效合集_严格保真_透明循环.webp","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_透明循环.webp","art_source","protected_source","tracked_or_staged",".webp","254010","","","134a90ce4ba2021a3b4c613104792666d7eb1c88ceff93a8274f16574be6bf44","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/爆炸影响特效合集_严格保真_预览.gif","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/爆炸影响特效合集_严格保真_预览.gif","art_source","protected_source","tracked_or_staged",".gif","432531","613","878","55ac8a7b9e83a23cfc262e634e695a1b4815371f3e730c7821cc9a69c3fdf04f","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/验证说明.txt","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/验证说明.txt","art_source","protected_source","tracked_or_staged",".txt","325","","","2f44a737632acd4c9db27230458d4a18b04771216085c632b8b6b018cd1ff8b7","","","","move_art_source","protected_new_fx_reference"
"assets/fx/爆炸影响_参考还原_v2_严格保真/原参考_vs_严格保真V2_关键帧对照.jpg","art_source/fx_references/爆炸影响_参考还原_v02_严格保真/原参考_vs_严格保真V2_关键帧对照.jpg","art_source","protected_source","tracked_or_staged",".jpg","638562","3065","1756","24386c48156aca1ddfe61fa2c2d72f76e4cc8984c55ba504b23c46e8d0064533","","","","move_art_source","protected_new_fx_reference"
"assets/fx/portal/portal_loop_16f_stable.gif","art_source/fx_references/传送门候选/portal_loop_16f_stable.gif","art_source","protected_source","tracked_or_staged",".gif","228928","256","256","8c176baf56a4bdf07b653f8c7d2873be74fed2464d0a961253194e32ccf18fdc","","","","move_art_source","protected_new_fx_reference"
"assets/fx/portal/portal_loop_16f_stable.webp","art_source/fx_references/传送门候选/portal_loop_16f_stable.webp","art_source","protected_source","tracked_or_staged",".webp","661028","","","34bfc4a52bb83d9ea83ec28061bd21c42b65736d25c757e66ac61958f036eb0d","","","","move_art_source","protected_new_fx_reference"
"assets/fx/portal/portal_loop_4x4_512.png","art_source/fx_references/传送门候选/portal_loop_4x4_512.png","art_source","protected_source","tracked_or_staged",".png","299176","512","512","a5ea56f19b4ef8ee6e9430e7831cd5ed62fdeec95b88cbb84e3a47fbc2a124ae","","","","move_art_source","protected_new_fx_reference"
"assets/fx/弹道效果全景图_v1/弹道效果全景图_3x5_v01.png","art_source/fx_references/弹道效果全景图_v01/弹道效果全景图_3x5_v01.png","art_source","protected_source","tracked_or_staged",".png","1362079","1672","941","2494750aaac10829cabf1817f606ea77f186cc707e4643b9bb0eb2c26d271aef","","","","move_art_source","protected_new_fx_reference"
"assets/fx/弹道效果全景循环_12帧_v1/frames/frame_00.png","art_source/fx_references/弹道效果全景循环_12帧_v01/frames/frame_00.png","art_source","protected_source","tracked_or_staged",".png","1260137","1672","941","6dbe0dacd0fbf24cb1a6c5105dda7e11150ce03a87e68707f2de84f2db4c85a8","","","","move_art_source","protected_new_fx_reference"
"assets/fx/弹道效果全景循环_12帧_v1/frames/frame_01.png","art_source/fx_references/弹道效果全景循环_12帧_v01/frames/frame_01.png","art_source","protected_source","tracked_or_staged",".png","1259385","1672","941","04c88cabd0cdc270e7b1595507e727efac6898aa288dbcc6ebfc4bdaa4d0867e","","","","move_art_source","protected_new_fx_reference"
